Universe,Model Arm,Seed,OOS Return (%),OOS Sharpe,OOS Max DD (%),Future 1-Yr Return (%),Future Sharpe,Future Max DD (%)
1. 🇮🇳 Indian Nifty 50 Equities,1. LSTM-DNN (60% Real),42,-0.43161894934273803,-0.04117979429236372,-6.517115239902366,-1.8598789953039319,-0.27069346265259836,-8.792647454749073
1. 🇮🇳 Indian Nifty 50 Equities,2. Real-PPO (60% Real),42,-0.10329825570654094,0.011086800236353105,-5.858917662977891,-1.9379859528587118,-0.31116471800788,-8.429437010873142
1. 🇮🇳 Indian Nifty 50 Equities,3. RAI v8.2 (0% Real),42,-0.3883870368531772,-0.07939480427158348,-4.0805478184123105,-0.553666285441412,-0.11949860031834933,-5.450622995296682
1. 🇮🇳 Indian Nifty 50 Equities,1. LSTM-DNN (60% Real),101,-0.4526121453464871,-0.04497005288617234,-6.5113376708090716,-1.8543903214195967,-0.27031996625070626,-8.776133089369239
1. 🇮🇳 Indian Nifty 50 Equities,2. Real-PPO (60% Real),101,-1.6516156415116723,-0.2301368994387819,-7.812040984532366,-3.522807333004929,-0.4700774114325122,-10.515701746774043
1. 🇮🇳 Indian Nifty 50 Equities,3. RAI v8.2 (0% Real),101,0.7032594645483448,0.13512444274888918,-7.552551265213536,-1.9086128933577307,-0.2109006067770447,-11.648999024246939
1. 🇮🇳 Indian Nifty 50 Equities,1. LSTM-DNN (60% Real),202,-0.46902418232115384,-0.0478377439715098,-6.516809917559793,-1.8471833761390166,-0.26897551017256704,-8.777127893071167
1. 🇮🇳 Indian Nifty 50 Equities,2. Real-PPO (60% Real),202,0.16114541535714455,0.061678257884414917,-6.887705662155863,-1.5727916853035984,-0.21742354836982056,-8.890480867396537
1. 🇮🇳 Indian Nifty 50 Equities,3. RAI v8.2 (0% Real),202,-0.6797575053474558,-0.14821583755349613,-4.440794783151217,-1.84904360639786,-0.43462249939445846,-6.604293154947949
1. 🇮🇳 Indian Nifty 50 Equities,1. LSTM-DNN (60% Real),303,-0.4369398381379508,-0.04227665906059591,-6.508466807436093,-1.8393873293981566,-0.268071927839026,-8.766479173036346
1. 🇮🇳 Indian Nifty 50 Equities,2. Real-PPO (60% Real),303,-0.016304126669164365,0.028236425126168075,-6.222586803798977,-1.2790477393197053,-0.20162737138597303,-7.54386047218327
1. 🇮🇳 Indian Nifty 50 Equities,3. RAI v8.2 (0% Real),303,0.6458397820307216,0.13929472342204643,-6.664059963757393,-2.5172933865948655,-0.34844209019188993,-9.73623602842895
1. 🇮🇳 Indian Nifty 50 Equities,1. LSTM-DNN (60% Real),404,-0.46059327585862286,-0.04613011935308367,-6.526056987673214,-1.8611598191117573,-0.2706301836005277,-8.794597837848984
