Seed,Day,P_up,Signal,Weight_per_asset,Total_equity_exposure
42,0,0.5592935681343079,1,0.08,0.7999999999999999
42,1,0.5580201745033264,1,0.08,0.7999999999999999
42,2,0.556553065776825,1,0.08,0.7999999999999999
42,3,0.5577067136764526,1,0.08,0.7999999999999999
42,4,0.5597038865089417,1,0.08,0.7999999999999999
42,5,0.5576618313789368,1,0.08,0.7999999999999999
42,6,0.5601595640182495,1,0.08,0.7999999999999999
42,7,0.5588122606277466,1,0.08,0.7999999999999999
42,8,0.5558393001556396,1,0.08,0.7999999999999999
42,9,0.5547804236412048,1,0.08,0.7999999999999999
42,10,0.5590177774429321,1,0.08,0.7999999999999999
42,11,0.5584394931793213,1,0.08,0.7999999999999999
42,12,0.5547226071357727,1,0.08,0.7999999999999999
42,13,0.5520877838134766,1,0.08,0.7999999999999999
42,14,0.5545891523361206,1,0.08,0.7999999999999999
42,15,0.5562849044799805,1,0.08,0.7999999999999999
42,16,0.5583229660987854,1,0.08,0.7999999999999999
42,17,0.5576286315917969,1,0.08,0.7999999999999999
42,18,0.5584539771080017,1,0.08,0.7999999999999999
42,19,0.5580066442489624,1,0.08,0.7999999999999999
42,20,0.5541648864746094,1,0.08,0.7999999999999999
42,21,0.5587764978408813,1,0.08,0.7999999999999999
42,22,0.5537792444229126,1,0.08,0.7999999999999999
42,23,0.5555436611175537,1,0.08,0.7999999999999999
42,24,0.5562586784362793,1,0.08,0.7999999999999999
42,25,0.5558855533599854,1,0.08,0.7999999999999999
42,26,0.5531906485557556,1,0.08,0.7999999999999999
42,27,0.555265486240387,1,0.08,0.7999999999999999
42,28,0.5551304817199707,1,0.08,0.7999999999999999
42,29,0.5567905306816101,1,0.08,0.7999999999999999
42,30,0.5580421686172485,1,0.08,0.7999999999999999
42,31,0.5553438067436218,1,0.08,0.7999999999999999
42,32,0.5571424961090088,1,0.08,0.7999999999999999
42,33,0.5566837191581726,1,0.08,0.7999999999999999
42,34,0.558925986289978,1,0.08,0.7999999999999999
42,35,0.5580351948738098,1,0.08,0.7999999999999999
42,36,0.5531138777732849,1,0.08,0.7999999999999999
42,37,0.5542440414428711,1,0.08,0.7999999999999999
42,38,0.5563037395477295,1,0.08,0.7999999999999999
42,39,0.5597073435783386,1,0.08,0.7999999999999999
42,40,0.5532249212265015,1,0.08,0.7999999999999999
42,41,0.553891658782959,1,0.08,0.7999999999999999
42,42,0.5579071640968323,1,0.08,0.7999999999999999
42,43,0.5559137463569641,1,0.08,0.7999999999999999
42,44,0.5595560669898987,1,0.08,0.7999999999999999
42,45,0.5584211945533752,1,0.08,0.7999999999999999
42,46,0.5572587847709656,1,0.08,0.7999999999999999
42,47,0.5578118562698364,1,0.08,0.7999999999999999
42,48,0.5564319491386414,1,0.08,0.7999999999999999
42,49,0.5579651594161987,1,0.08,0.7999999999999999
42,50,0.5577772259712219,1,0.08,0.7999999999999999
