Universe,Model,Seed,OOS Sharpe,OOS Return (%),OOS Max DD (%),Future Sharpe,Future Return (%),Future Max DD (%),OOS Sharpe (costed),Future Sharpe (costed)
US_ETFs,LSTM (real),42,1.1160710583346096,19.526670541007874,-5.681863137754103,1.6594537785584282,29.515800293824057,-9.36698563615819,1.1136312348951671,1.6262509652849106
US_ETFs,XGBoost (real),42,1.1252854507395587,17.241290108643547,-4.318366595935531,1.8389411904186481,28.049197469656395,-6.138320294295131,-0.04759069625748597,0.5780815216326278
US_ETFs,LSTM (real),101,1.1160710583346096,19.526670541007874,-5.681863137754103,1.6594537785584282,29.515800293824057,-9.36698563615819,1.1136312348951671,1.6262509652849106
US_ETFs,XGBoost (real),101,1.2886330598614961,19.83905556248242,-4.318366595935531,1.4448547625289543,21.389709283842272,-6.648446884660444,0.11991970544470516,0.1254317904583821
US_ETFs,LSTM (real),202,1.1160710583346096,19.526670541007874,-5.681863137754103,1.6594537785584282,29.515800293824057,-9.36698563615819,1.1136312348951671,1.6262509652849106
US_ETFs,XGBoost (real),202,1.0461642608559856,15.84451679799428,-4.8206814576303625,2.0361726208598903,29.83034043241055,-4.237098489805191,-0.10259047028898911,0.7209014881623235
US_ETFs,LSTM (real),303,1.1160710583346096,19.526670541007874,-5.681863137754103,1.6594537785584282,29.515800293824057,-9.36698563615819,1.1136312348951671,1.6262509652849106
US_ETFs,XGBoost (real),303,1.21439625141321,18.65762225389558,-4.318366595935531,1.905868238210082,27.982933268648182,-4.6180665769135905,0.04641864849729223,0.5689425057637919
US_ETFs,LSTM (real),404,1.1160710583346096,19.526670541007874,-5.681863137754103,1.6594537785584282,29.515800293824057,-9.36698563615819,1.1136312348951671,1.6262509652849106
US_ETFs,XGBoost (real),404,1.2722079869225322,19.451069610313155,-4.318366595935531,1.3039658400246423,18.60890007698508,-7.553676019312864,0.06986941133209573,-0.0919290570680802
US_ETFs,LSTM (real),505,1.1160710583346096,19.526670541007874,-5.681863137754103,1.6594537785584282,29.515800293824057,-9.36698563615819,1.1136312348951671,1.6262509652849106
US_ETFs,XGBoost (real),505,1.1205613505255756,17.189831097642426,-4.8206814576303625,2.0913833460827496,30.678683549198404,-4.237098489805294,-0.06119881228693714,0.7468297205509232
US_ETFs,LSTM (real),606,1.1160710583346096,19.526670541007874,-5.681863137754103,1.6594537785584282,29.515800293824057,-9.36698563615819,1.1136312348951671,1.6262509652849106
US_ETFs,XGBoost (real),606,1.1575899430338057,17.71554791590093,-4.8206814576303625,1.8823253803898847,27.91690791085799,-4.618066576913564,0.017485698121433215,0.5462569690399374
US_ETFs,LSTM (real),707,1.1160710583346096,19.526670541007874,-5.681863137754103,1.6594537785584282,29.515800293824057,-9.36698563615819,1.1136312348951671,1.6262509652849106
US_ETFs,XGBoost (real),707,1.1743840515958641,17.750293774098424,-4.318366595935531,1.3782494137605965,20.11636766176266,-6.623404478245118,0.001690753403571187,0.0596576819685407
US_ETFs,LSTM (real),808,1.1160710583346096,19.526670541007874,-5.681863137754103,1.6594537785584282,29.515800293824057,-9.36698563615819,1.1136312348951671,1.6262509652849106
US_ETFs,XGBoost (real),808,1.1012364090227855,16.868774410033073,-4.8206814576303625,1.8076701737074377,26.70386783317944,-4.61806657691353,-0.03414402474438791,0.5310061608215979
US_ETFs,LSTM (real),909,1.1160710583346096,19.526670541007874,-5.681863137754103,1.6594537785584282,29.515800293824057,-9.36698563615819,1.1136312348951671,1.6262509652849106
US_ETFs,XGBoost (real),909,1.1516080211105928,17.591796850372887,-5.170244923746359,1.411176508095914,20.604158193633083,-7.553676019312913,-0.004402669634040586,0.021032669509369294
US_MegaCap_PIT,LSTM (real),42,1.7285768609548318,45.04325652291614,-6.955241126976569,1.8543143358610532,48.17037996080315,-13.04857787782067,1.7372823741645316,1.8635481981964437
US_MegaCap_PIT,XGBoost (real),42,1.71128592035394,36.60865468952863,-5.900499480031865,1.8470071082428052,35.35935827364043,-10.942332702276454,0.7640661879222711,0.8362889560040244
US_MegaCap_PIT,LSTM (real),101,1.7285768609548318,45.04325652291614,-6.955241126976569,1.8543143358610532,48.17037996080315,-13.04857787782067,1.7372823741645316,1.8635481981964437
US_MegaCap_PIT,XGBoost (real),101,1.7367379615520206,36.357720345695995,-5.900499480032028,2.2608615523261393,39.97228013135261,-7.307492019062662,0.7387747349998198,1.1394834011271775
US_MegaCap_PIT,LSTM (real),202,1.7285768609548318,45.04325652291614,-6.955241126976569,1.8543143358610532,48.17037996080315,-13.04857787782067,1.7372823741645316,1.8635481981964437
US_MegaCap_PIT,XGBoost (real),202,1.5982084085038593,33.22370963846566,-5.900499480032197,1.7654465407962687,33.71956443411,-10.942332702276463,0.614363721106827,0.7551254552829741
