Universe,Seed,oos_repro,oos_ref,fut_repro,fut_ref,oos_abs_err,fut_abs_err
US_ETFs,42,1.1466568414418568,1.1466571148688314,1.3734666639114816,1.3734662325081255,2.7342697461740784e-07,4.314033561492181e-07
US_ETFs,101,1.1563772797899485,1.1563768470697198,1.7116670695381748,1.7116684420566977,4.32720228760175e-07,1.3725185228352643e-06
US_ETFs,202,1.5432038167443247,1.5432035159195276,1.4989205472483533,1.4989203057360083,3.0082479707260745e-07,2.4151234501168517e-07
US_ETFs,303,1.408021216564091,1.408022079093376,1.2953670757633744,1.295367198576745,8.625292848840616e-07,1.228133705843959e-07
US_ETFs,404,1.378184409283844,1.3781838953764738,1.385654701768993,1.3856545139836334,5.139073702142838e-07,1.877853597065382e-07
US_ETFs,505,1.5160752391566885,1.5160747933816188,1.577767812189801,1.5777713060181424,4.457750697461904e-07,3.493828341305516e-06
US_ETFs,606,1.0814888184346312,1.0814898307526686,1.2726770193538783,1.2726773900708253,1.0123180373966534e-06,3.7071694691803714e-07
US_ETFs,707,1.3912011112632774,1.391202586421577,1.1775618058706412,1.177560890778417,1.4751582995131685e-06,9.150922242184834e-07
US_ETFs,808,1.5492705998668603,1.5492709938370817,1.4471080321569212,1.4471078632444394,3.9397022133513815e-07,1.689124817794152e-07
US_ETFs,909,1.2755297020812635,1.2755291838502896,1.5757879881209336,1.5757872816296763,5.182309739115709e-07,7.064912572740667e-07
US_MegaCap_PIT,42,1.416807399033464,1.416808874948248,1.7245502437772697,1.7245476475504349,1.4759147839438214e-06,2.5962268348500572e-06
US_MegaCap_PIT,101,1.4409036950937273,1.4409013124836754,1.6423528893117103,1.6423538379338871,2.3826100519208637e-06,9.486221768106873e-07
US_MegaCap_PIT,202,2.375069276837804,2.3750696159963987,1.9133462853798169,1.9133453321698932,3.3915859454225483e-07,9.532099236597702e-07
US_MegaCap_PIT,303,1.9315190582254653,1.931518749744628,1.8465608354418608,1.8465601704988208,3.0848083731882525e-07,6.649430399630063e-07
US_MegaCap_PIT,404,1.8013328304701732,1.8013349995382095,1.4541628732594256,1.4541648449523024,2.1690680362951298e-06,1.971692876745479e-06
US_MegaCap_PIT,505,2.6018348679955516,2.6018354509003143,1.696469364281898,1.6964692779983075,5.82904762680414e-07,8.628359049467349e-08
US_MegaCap_PIT,606,1.9806129447919902,1.980614644595019,1.2097495633301654,1.2097496926554203,1.6998030287762589e-06,1.293252549494639e-07
US_MegaCap_PIT,707,1.961739317954634,1.9617369294158733,1.7971168537024722,1.7971172895903709,2.3885387607780473e-06,4.358878986643333e-07
US_MegaCap_PIT,808,1.3692741650072173,1.3692738890252103,1.8651200747865608,1.8651192087382915,2.759820070252772e-07,8.660482693212401e-07
US_MegaCap_PIT,909,2.077399819756918,2.077398730148236,1.7301925690956996,1.7301934973634423,1.0896086819478512e-06,9.282677426725172e-07
Global_Indices,42,1.1930765710005546,1.095162232764753,1.0040272456040966,1.0040632990686509,0.09791433823580165,3.605346455426428e-05
Global_Indices,101,1.4769269812531896,1.3697694428766611,0.8066384027546111,0.7996400091928669,0.10715753837652842,0.006998393561744143
Global_Indices,202,1.2429767625042056,1.1420756345570735,0.9496662510658442,0.9348992373819084,0.10090112794713213,0.014767013683935848
Global_Indices,303,1.2073362664618492,1.113961460936718,0.9749374737090263,0.9639883490528056,0.09337480552513111,0.010949124656220666
Global_Indices,404,1.0539869525950498,0.95379040137614,1.0421013945676398,1.0179029627217018,0.1001965512189098,0.024198431845938062
Global_Indices,505,1.3664152178027351,1.2602885111021942,0.9615794792981966,0.9483376300653638,0.10612670670054092,0.013241849232832892
Global_Indices,606,0.6628365459123917,0.5637440651253025,0.6860985401917611,0.6648146302623449,0.09909248078708921,0.0212839099294162
Global_Indices,707,0.9493208024577698,0.8687069482692885,0.9087556401427722,0.9066049037694428,0.08061385418848133,0.0021507363733294094
Global_Indices,808,1.3050162045834965,1.2118572015389149,1.12249397609067,1.0995109444095097,0.09315900304458169,0.022983031681160337
Global_Indices,909,1.2901983675921875,1.1853554636746095,0.812258852861697,0.8017696184939479,0.104842903917578,0.010489234367749067
India_Nifty_50,42,0.6507067186606608,0.5550343157137247,0.1368616192721093,0.2077634261910531,0.09567240294693602,0.0709018069189438
India_Nifty_50,101,0.7356954587927532,0.6674264936492268,-0.16109058723938996,-0.0851664795430717,0.06826896514352643,0.07592410769631826
India_Nifty_50,202,-0.008569326205930964,-0.0575236232034937,-0.6668458234818608,-0.6337521076446856,0.048954296997562735,0.03309371583717524
India_Nifty_50,303,-0.3613780851462676,-0.4133635053918313,-0.9170549999239633,-0.8850846838880435,0.051985420245563685,0.03197031603591982
India_Nifty_50,404,-0.10749137639506325,-0.1977845538222279,-0.32164533824612457,-0.2525651853522692,0.09029317742716465,0.06908015289385538
India_Nifty_50,505,0.33476663193586276,0.2958180056015896,-1.0174353311087252,-0.959781484038895,0.03894862633427315,0.05765384706983023
