n_axiom,n_base,mean_axiom,mean_base,sd_axiom,sd_base,diff,cohens_d,base_zero_variance,welch_t,welch_p,mwu_u,mwu_p,Universe,Window,Comparison,n_universes_welch_p_lt_05,sign_test_p,paired_ci95_lo,paired_ci95_hi,cluster_ols_beta,cluster_robust_se,naive_ols_se,cluster_ols_p_tG1,n_universes_axiom_ahead,base_is_deterministic_constant,test,unbalanced_no_seed_comparator
10,10,1.3446010840571165,1.113631234895167,0.17213247356219308,2.340555645717801e-16,0.23096984916194963,1.8976122658580097,False,4.243190021395914,0.0021640858815669952,90.0,0.0014209119801024872,US_ETFs,OOS,Axiom vs LSTM (real),,,,,,,,,,,,
10,10,1.8956493196795812,1.7372823741645316,0.40777158936046004,0.0,0.1583669455150496,0.5492405258793174,True,1.228139151863886,0.25054313725274086,70.0,0.11525821359745406,US_MegaCap_PIT,OOS,Axiom vs LSTM (real),,,,,,,,,,,,
10,10,1.0764711362221655,0.8553272850206429,0.2302564534295258,0.044317159397090404,0.22114385120152258,1.3337653235135463,False,2.982389929408288,0.014253298225928352,81.0,0.01564009435019098,Global_Indices,OOS,Axiom vs LSTM (real),,,,,,,,,,,,
10,10,0.03499995388922509,-0.25377175114244344,0.35787037321233794,5.851389114294502e-17,0.28877170503166855,1.1411530326459254,False,2.551695753726326,0.03110807673265037,80.0,0.017187093921295943,India_Nifty_50,OOS,Axiom vs LSTM (real),,,,,,,,,,,,
10,10,0.4030403909521749,0.9037864503202476,0.26453756558226355,0.0,-0.5007460593680727,-2.6769803634674845,True,-5.98591006714539,0.00020603153975493437,10.0,0.0014209119801024872,Forex_Commodities,OOS,Axiom vs LSTM (real),,,,,,,,,,,,
10,10,1.1450916028700031,1.0824940902311915,0.17025445328238198,0.06067308328687512,0.06259751263881164,0.4897924853873103,False,1.0952092921945982,0.29631870843795644,68.0,0.18571128044479945,Crypto_PIT,OOS,Axiom vs LSTM (real),,,,,,,,,,,,
60,60,0.9833089146117111,0.9064582805815564,0.6717190452905877,0.59915390455711,0.07685063403015469,0.1207448205308265,False,0.6613466190664659,0.5096960161618266,2053.0,0.1844815454897596,POOLED (60 vs 60),OOS,Axiom vs LSTM (real),4.0,,,,,,,,,,,
6,6,0.9833089146117112,0.9064582805815563,,,0.0768506340301549,0.2620737833610647,False,0.6419470441953088,0.5491769778956023,6.0,0.4375,CLUSTER-CORRECTED (n=6 universes),OOS,Axiom vs LSTM (real),,0.21875,-0.23088634471500546,0.3845876127753153,0.0768506340301546,0.12022110858542266,0.1162032613678956,0.5507966689720657,5.0,,,
10,10,1.3446010840571165,0.0005457543587256792,0.17213247356219308,0.06620084142230483,1.3440553296983908,10.306593964853498,False,23.046244721901502,4.722520603574255e-11,100.0,0.00018267179110955002,US_ETFs,OOS,Axiom vs XGBoost (real),,,,,,,,,,,,
10,10,1.8956493196795812,0.6860444183522543,0.40777158936046004,0.06436853517882,1.209604901327327,4.143783052476735,False,9.265780589349557,4.7808806277394305e-06,100.0,0.00018267179110955002,US_MegaCap_PIT,OOS,Axiom vs XGBoost (real),,,,,,,,,,,,
10,10,1.0764711362221655,-0.20235813371929515,0.2302564534295258,0.07231618254767602,1.2788292699414607,7.493562036727472,False,16.7561141077344,4.729886256405982e-09,100.0,0.00018267179110955002,Global_Indices,OOS,Axiom vs XGBoost (real),,,,,,,,,,,,
