Universe,Model,Seed,OOS Return (%),OOS Sharpe,OOS Max DD (%),Future Return (%),Future Sharpe,Future Max DD (%)
US_ETFs,Axiom v0.9,42,25.812527851615542,1.1466571148688314,-8.404672579966501,33.481334089624816,1.3734662325081257,-12.481988089213903
US_ETFs,Axiom v0.9,101,26.66675308459896,1.1563768470697198,-6.349007086336983,44.07914040339263,1.7116684420566977,-11.34476498894861
US_ETFs,Axiom v0.9,202,34.07363860172574,1.5432035159195276,-6.307843007233157,32.91662797358359,1.4989203057360083,-11.87781252218309
US_ETFs,Axiom v0.9,303,34.94946768410132,1.408022079093376,-7.938594880893045,30.740696146200964,1.295367198576745,-13.568850102746497
US_ETFs,Axiom v0.9,404,31.088956298291247,1.3781838953764738,-7.941764533512802,37.99044297586407,1.3856545139836334,-11.388890132042444
US_ETFs,Axiom v0.9,505,28.337298197811723,1.5160747933816188,-5.167044564346014,27.924359089991448,1.5777713060181424,-8.704165353792497
US_ETFs,Axiom v0.9,606,19.408491510684065,1.0814898307526686,-7.694623782623059,19.8361766790609,1.2726773900708253,-8.17542932169761
US_ETFs,Axiom v0.9,707,22.49524962262477,1.391202586421577,-5.67028049747891,20.093548575528388,1.177560890778417,-10.154887137581433
US_ETFs,Axiom v0.9,808,28.117276505293365,1.5492709938370817,-5.691785255353819,32.14358752780788,1.4471078632444394,-9.086347589009547
US_ETFs,Axiom v0.9,909,28.99994820042886,1.2755291838502896,-6.768530450036699,36.4912961564686,1.5757872816296763,-12.794795017691174
US_MegaCap_PIT,Axiom v0.9,42,50.19339587841145,1.416808874948248,-9.494239981467945,65.13055460387616,1.7245476475504347,-18.33810654921556
US_MegaCap_PIT,Axiom v0.9,101,40.35192623566306,1.4409013124836754,-7.956822776922667,45.76887908129743,1.6423538379338871,-14.016789584429576
US_MegaCap_PIT,Axiom v0.9,202,79.70571446474868,2.3750696159963987,-9.652945402797053,65.16874968365009,1.9133453321698934,-14.054384828005501
US_MegaCap_PIT,Axiom v0.9,303,70.54630116853455,1.931518749744628,-9.351173494433946,69.06287779749356,1.8465601704988206,-16.37765704448414
US_MegaCap_PIT,Axiom v0.9,404,66.94139516189763,1.8013349995382095,-10.687769673854252,56.49622383513584,1.4541648449523024,-20.61186842631959
US_MegaCap_PIT,Axiom v0.9,505,93.38743351981019,2.6018354509003143,-7.985467585789216,57.598385253817284,1.6964692779983077,-14.600759254519755
US_MegaCap_PIT,Axiom v0.9,606,72.66292783960839,1.980614644595019,-8.035281684155123,40.712149730079176,1.2097496926554205,-15.50190353593105
US_MegaCap_PIT,Axiom v0.9,707,49.99495736710888,1.9617369294158735,-7.789811223179305,50.19679593889084,1.7971172895903709,-13.135797982073788
US_MegaCap_PIT,Axiom v0.9,808,27.08732835527623,1.3692738890252103,-7.362759408037735,40.54071189200066,1.8651192087382913,-11.57757186481572
US_MegaCap_PIT,Axiom v0.9,909,60.816599461287055,2.0773987301482357,-7.3690094388561125,49.8250614700289,1.7301934973634425,-13.764119438915301
Global_Indices,Axiom v0.9,42,27.95626821041939,1.095162232764753,-9.330082893337291,29.568922393210094,1.0040632990686507,-11.763296289428824
Global_Indices,Axiom v0.9,101,31.393490386124423,1.3697694428766611,-7.695065907547087,19.371270949303955,0.7996400091928669,-10.086427293602975
Global_Indices,Axiom v0.9,202,36.297329724678164,1.1420756345570735,-11.732392429939576,29.360974014482256,0.9348992373819083,-14.137957376863163
