Universe,Window,Model,Seed,Offset,Sharpe,Return (%),Max DD (%),Rebalances,Mean Cash Frac,Mean Top Weight
US_ETFs,OOS,Axiom v0.9,42,-3.5,1.1566300674329675,29.644245765371057,-9.435948803680441,37,0.07072317717007297,0.39271681182033485
US_ETFs,OOS,Axiom v0.9,101,-3.5,1.1859501803606798,31.556018239224827,-7.247604269566095,36,0.08221107120266577,0.3203493394249799
US_ETFs,OOS,Axiom v0.9,202,-3.5,1.5435002761558132,34.41599222446921,-6.35942577327998,30,0.005003229657788885,0.23974348901876444
US_ETFs,OOS,Axiom v0.9,303,-3.5,1.414517974456944,35.65619835776086,-8.050174254510235,18,0.008008653762222541,0.24195991926284052
US_ETFs,OOS,Axiom v0.9,404,-3.5,1.3809325372027497,32.61397750131898,-8.225299645142297,32,0.024330266497062054,0.3624133385610711
US_ETFs,OOS,Axiom v0.9,505,-3.5,1.520252990078062,30.87707783513065,-5.545790072420899,16,0.044539207490345234,0.29535525196012724
US_ETFs,OOS,Axiom v0.9,606,-3.5,1.087466401023623,20.149006501166777,-7.917186936450891,26,0.01709377018409439,0.34375234528753096
US_ETFs,OOS,Axiom v0.9,707,-3.5,1.4023118462407207,29.40577669444595,-7.152159463112147,24,0.16028933323469485,0.27914334232113774
US_ETFs,OOS,Axiom v0.9,808,-3.5,1.549297916640319,36.58404674826758,-7.0862202783105275,29,0.15484144673940414,0.2220347897665924
US_ETFs,OOS,Axiom v0.9,909,-3.5,1.2688892120561308,32.18945717714858,-7.633985794539355,24,0.06127682812818209,0.23083967474155825
US_ETFs,OOS,RAI v6 Fast,-1,-3.5,0.8057331293637359,31.27131606196445,-16.62849514892926,174,0.018693089345767612,0.8762931965014514
US_ETFs,OOS,Axiom v0.9,42,-2.5,1.1466568414418594,25.812497380104602,-8.4046676197176,27,0.16992219221986388,0.3470596620049638
US_ETFs,OOS,Axiom v0.9,101,-2.5,1.1563772797899496,26.66675660005684,-6.348993142873777,33,0.19710014153981667,0.28367439781643766
US_ETFs,OOS,Axiom v0.9,202,-2.5,1.5432038167443325,34.07363987837644,-6.307846980691083,30,0.013476134430851733,0.23762728386240858
US_ETFs,OOS,Axiom v0.9,303,-2.5,1.4080212165640917,34.94943547693347,-7.938587730102001,18,0.02137032199868906,0.23884228468624938
US_ETFs,OOS,Axiom v0.9,404,-2.5,1.378184409283844,31.088968398985074,-7.941780465413563,30,0.06324835632281504,0.34771709542596085
US_ETFs,OOS,Axiom v0.9,505,-2.5,1.5160752391566885,28.337290846722052,-5.167031165433489,17,0.11265318588851306,0.2735450034258864
US_ETFs,OOS,Axiom v0.9,606,-2.5,1.0814888184346296,19.408467953204898,-7.694618465900309,24,0.04507612295907366,0.33414725983008325
US_ETFs,OOS,Axiom v0.9,707,-2.5,1.3912011112632792,22.495205764245906,-5.670281778839125,22,0.3471291479467007,0.21941331713567144
US_ETFs,OOS,Axiom v0.9,808,-2.5,1.5492705998668581,28.11726354141768,-5.691779956206504,24,0.33327355857460433,0.17606719422049757
US_ETFs,OOS,Axiom v0.9,909,-2.5,1.275529702081263,28.99995344409012,-6.76852339263273,26,0.1503404869212561,0.2085080777305514
US_ETFs,OOS,RAI v6 Fast,-1,-2.5,0.811470406794816,30.528408369834704,-16.13137240844981,179,0.04963634815174876,0.8453310880716434
US_ETFs,OOS,Axiom v0.9,42,-1.5,1.1718580148155826,20.04150575127117,-6.569641200708416,24,0.3574759495449952,0.2664902243776787
US_ETFs,OOS,Axiom v0.9,101,-1.5,1.131944549350276,19.172901826107292,-4.871969093583565,28,0.40294755310081054,0.21451401141153342
US_ETFs,OOS,Axiom v0.9,202,-1.5,1.549916849308393,33.310135831704216,-6.110295412500283,30,0.035783746455024676,0.2318112047508338
US_ETFs,OOS,Axiom v0.9,303,-1.5,1.4141131754913487,33.7672890186971,-7.675367340329779,18,0.056021137209973725,0.23001173282098922
US_ETFs,OOS,Axiom v0.9,404,-1.5,1.3786382069486818,27.844762706677216,-7.2340151115822025,33,0.1544256759675943,0.31366877854917885
US_ETFs,OOS,Axiom v0.9,505,-1.5,1.522702914894759,23.46137675098092,-4.33210964704752,17,0.2571423111563441,0.2276489628459108
US_ETFs,OOS,Axiom v0.9,606,-1.5,1.0898721681110937,18.074395247811115,-7.149971497491079,23,0.11331229792886784,0.3111092523418021
US_ETFs,OOS,Axiom v0.9,707,-1.5,1.3589172377576206,13.46854753561162,-3.608949768417322,13,0.5941846333386892,0.13754456993253955
US_ETFs,OOS,Axiom v0.9,808,-1.5,1.5216270114513912,16.85896731933283,-3.6247823908430803,13,0.57600179438665,0.11237232350110311
US_ETFs,OOS,Axiom v0.9,909,-1.5,1.2861847719615487,22.880303671595236,-5.338106350218135,25,0.32253754549802716,0.1673985004907986
US_ETFs,OOS,RAI v6 Fast,-1,-1.5,0.8236238741572204,28.47676755315911,-14.869511917781908,199,0.12702155709909418,0.7683706404170266
US_ETFs,OOS,Axiom v0.9,42,-0.5,1.1603697492299634,11.949794981751683,-4.078652114372756,14,0.6015562832310524,0.1634013721696363
US_ETFs,OOS,Axiom v0.9,101,-0.5,1.1007695229557108,10.616439426576152,-2.9047932071821267,16,0.6511689390685133,0.12628304247426728
US_ETFs,OOS,Axiom v0.9,202,-0.5,1.5544914396660638,31.25427140194905,-5.744372594652982,31,0.09135968660012417,0.21846320848704057
US_ETFs,OOS,Axiom v0.9,303,-0.5,1.4132119983045572,30.54856408132909,-7.029391676337969,21,0.1379441438561699,0.20941667975896772
